zona,area_quartos,enderecos_lista,aluguel
norte,15 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750
norte,50 m² construídos2 quartos,"Jose Pedro D´oro 451, Vila Francos, São Paulo Zona Norte, São Paulo",1.400
norte,80 m² construídos2 quartos,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",970
norte,15 m² construídos1 quarto,"Rua Francisco Shigueki Nomura, Imirim, São Paulo Zona Norte, São Paulo",660
norte,60 m² construídos2 quartos,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",1.500
norte,68 m² construídos2 quartos,"Avenida Boschetti, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.080
norte,60 m² construídos1 quarto,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",900
norte,50 m² construídos2 quartos,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",990
norte,100 m² construídos2 quartos,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",1.200
norte,58 m² construídos2 quartos,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",1.100
norte,15 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750
norte,48 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.370
norte,40 m² construídos1 quarto,"Rua Angelina Pena Botto, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.100
norte,160 m² construídos3 quartos,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.330
norte,500 m² construídos6 quartos,"Rua Crisciúma, Jardim Brasil, São Paulo Zona Norte, São Paulo",4.500
norte,55 m² construídos2 quartos,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.120
norte,40 m² construídos1 quarto,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.250
norte,50 m² construídos1 quarto,"Rua Sampaio Leite, Jardim Rossin, São Paulo Zona Norte, São Paulo",800
norte,24 m² construídos1 quarto,"Rua Chico Pontes, Carandiru, São Paulo Zona Norte, São Paulo",1.040
norte,36 m² construídos1 quarto,"Rua João Burjakian, Lauzane Paulista, São Paulo Zona Norte, São Paulo",890
norte,55 m² construídos1 quarto,"Rua João Rudge, Casa Verde, São Paulo Zona Norte, São Paulo",1.400
norte,70 m² construídos2 quartos,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",3.950
norte,"1,600 m² construídos","Ataliba Vieira, Vila Medeiros, São Paulo Zona Norte, São Paulo",25.000
norte,49 m² construídos2 quartos,"Avenida Mandaqui, Limão, São Paulo Zona Norte, São Paulo",1.800
norte,52 m² construídos2 quartos,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.550
norte,60 m² construídos1 quarto,"Rua Adelfa De Figueiredo, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.100
